id,ean,category,name,price,quantity,metadata,created_at
122bbd9e-ba38-aa93-5a1e-d61e23def4d2,0548019342505,Kids,Cup - 4oz Translucent,$1.37,84,"{""vendor"":""default""}",2023-05-14 14:37:26
55b7839c-d6bc-3d97-aeb1-5aaf47c91eca,0403941707568,Computers,"Wine - Magnotta - Red, Baco",$0.81,46,"{""vendor"":""default""}",2024-02-19 21:05:43
efa1ace5-61f0-ea8d-1c08-bd5eeb3fa242,0668537555326,Electronics,Pear - Prickly,$4.14,90,"{""vendor"":""default""}",2024-03-21 23:54:17
b75ccaa9-c6cd-e0a0-8019-a510d2601724,0611568191517,Baby,Lettuce - Romaine,$9.84,95,"{""vendor"":""default""}",2023-07-17 03:20:52
c9a63fad-abd6-4d02-c2a1-e1c67d117acf,0854571552044,Movies,Arizona - Green Tea,$4.05,55,"{""vendor"":""default""}",2023-06-02 19:22:33
afdf3c52-bc86-4632-ae44-9303c945fc96,0140311182973,Home,Ocean Spray - Ruby Red,$2.79,92,"{""vendor"":""default""}",2024-03-30 16:56:19
ad5c275e-5cd1-56b0-f70a-5d7e66ebba83,0545775743449,Jewelry,Water - Green Tea Refresher,$1.14,4,"{""vendor"":""default""}",2024-01-21 04:07:53
6cf3fcc1-4934-a88c-efae-389d30a1bf80,0273782139240,Games,Chick Peas - Dried,$2.30,58,"{""vendor"":""default""}",2023-07-14 15:57:05
35909f5a-41fc-a998-464d-a3b5a6e6023d,0453754543131,Computers,Filter - Coffee,$4.48,91,"{""vendor"":""default""}",2023-04-10 21:48:45
6ea7b6ac-ab9e-fc6f-ed1b-2bcf7e2dcd0a,0810246631142,Baby,"Mushroom - Shitake, Fresh",$5.82,3,"{""vendor"":""default""}",2024-03-23 02:06:53
c8dd6aec-f753-dc87-eed9-07bf6aaea1dc,0076554523861,Movies,Chicken - Leg / Back Attach,$6.36,39,"{""vendor"":""default""}",2023-07-30 00:08:02
3488088b-bde5-17cb-5f6d-45a46fefe6e9,0253842768360,Electronics,Appetizer - Sausage Rolls,$4.96,12,"{""vendor"":""default""}",2024-03-03 22:34:38
1c681f8a-e5a2-ceb3-6f8a-a1b16b9427db,0991096575445,Sports,Venison - Racks Frenched,$8.86,82,"{""vendor"":""default""}",2023-08-20 14:43:36
eb4771de-530a-7cfe-794a-8ea0f60dbdb4,0736934092381,Health,"Artichokes - Knobless, White",$0.44,42,"{""vendor"":""default""}",2023-05-08 18:00:50
badc26f2-01ea-9941-3744-1aa36d15daf0,0370765363222,Music,"Pasta - Linguini, Dry",$7.85,10,"{""vendor"":""default""}",2023-07-01 21:41:30
c27377f5-7817-be68-d9ac-00ace5808e22,0582862529300,Home,"Lid - Translucent, 3.5 And 6 Oz",$8.94,56,"{""vendor"":""default""}",2023-06-24 21:32:57
f09df18f-aadb-edc2-8a87-284709c1dabe,0411253575792,Shoes,Island Oasis - Wildberry,$1.16,91,"{""vendor"":""default""}",2023-06-24 08:58:59
7d62a7d4-daa8-9bdd-6ebd-c9c9fa4df24c,0212093217446,Music,Blouse / Shirt / Sweater,$2.59,30,"{""vendor"":""default""}",2023-04-12 10:56:05
42e105f7-73e2-b299-6cab-4120ac8a52b3,0744079555680,Grocery,"Yogurt - Blueberry, 175 Gr",$1.58,100,"{""vendor"":""default""}",2023-08-25 19:06:53
ba38db54-3723-124e-5ed5-9c6d179e24ff,0368364078328,Books,"Tart Shells - Savory, 3",$2.03,35,"{""vendor"":""default""}",2023-11-03 21:26:35
9739e87c-2e7f-425a-6c9d-d0312eecd6cd,0337719887206,Games,Coffee - Hazelnut Cream,$3.49,34,"{""vendor"":""default""}",2024-03-22 13:34:14
e3aab3be-fb9f-e40d-1b2a-8913a9776beb,0505356596430,Home,Bacardi Limon,$3.48,95,"{""vendor"":""default""}",2023-10-05 23:55:50
aef3cc30-1b16-98e8-3c44-f07ec0a80ee2,0907244145553,Garden,Broom And Brush Rack Black,$4.65,85,"{""vendor"":""default""}",2023-08-05 01:59:20
3ea4afdf-92a7-5ad7-df6a-f1ebe9a8ede9,0013258745605,Books,Beer - Labatt Blue,$2.07,84,"{""vendor"":""default""}",2023-04-05 17:49:07
5e14d0e6-4e18-41d5-ac29-80f3807eb95a,0300917859211,Games,Rappini - Andy Boy,$4.71,15,"{""vendor"":""default""}",2024-03-01 01:08:29
d3bd7bc3-e099-ca2b-0aab-888deff2f59d,0683336492950,Home,Muffin Puck Ww Carrot,$8.05,37,"{""vendor"":""default""}",2023-04-15 15:03:13
9e1fd77f-aea2-440c-7b6e-42ac5a799703,0524346080679,Garden,Sambuca - Opal Nera,$9.90,6,"{""vendor"":""default""}",2023-05-09 15:17:32
3eb8448d-2ead-bfa5-bbfd-fb0a4bbc0200,0362845097751,Garden,"Artichoke - Bottom, Canned",$8.89,64,"{""vendor"":""default""}",2024-03-18 21:53:17
5409bcd5-5dcd-4a8a-78bd-a60ac3c9e3d3,0527454901935,Baby,Veal - Inside,$0.09,72,"{""vendor"":""default""}",2023-06-23 13:40:03
bebc774b-4f84-d0ff-5c43-d1751e2ddc6f,0395964964199,Garden,Persimmons,$2.80,7,"{""vendor"":""default""}",2024-03-05 12:13:56
ed9fa9ab-dda1-5953-73d0-babc0ab798e9,0195077484065,Movies,Turkey - Ground. Lean,$1.83,5,"{""vendor"":""default""}",2023-04-27 03:38:33
71ce0cea-5e5f-afc0-be6e-cbb906bc7eac,0069213181409,Electronics,Snails - Large Canned,$0.48,17,"{""vendor"":""default""}",2023-11-17 09:42:42
4dba6a96-a3fc-7d8a-7209-29f16de0ae3b,0302786209064,Movies,Bread - Hamburger Buns,$7.01,17,"{""vendor"":""default""}",2023-08-06 04:02:00
a0410430-824e-a9cd-71e2-ec5dcdc5fc2e,0213190358973,Outdoors,Couscous,$5.11,64,"{""vendor"":""default""}",2024-02-19 10:56:23
ca155d3b-bca4-d1fc-6f0b-96facea4f42b,0272025198365,Electronics,Wine - Remy Pannier Rose,$9.55,3,"{""vendor"":""default""}",2024-03-15 06:48:53
b436dd85-7cd7-542c-e3dd-7b9b1bc23ed4,0228246382087,Outdoors,Gelatine Powder,$0.81,19,"{""vendor"":""default""}",2024-02-02 06:21:31
2abfce30-f950-990a-ccdb-cfa2b541fec8,0094358461823,Shoes,"Lid - 10,12,16 Oz",$4.88,15,"{""vendor"":""default""}",2024-01-19 20:23:50
dc1cba01-be7b-eb61-6bce-fc622dbcd0a5,0371945818255,Games,Cheese - Mix,$5.43,64,"{""vendor"":""default""}",2023-11-23 22:09:04
32ff6ce7-8fc8-7943-f168-aa44fe2309b9,0166277750983,Clothing,"Lamb - Shoulder, Boneless",$1.06,69,"{""vendor"":""default""}",2023-11-29 02:21:16
8ab54be1-f6b7-9f05-37b3-9721aa1bb41f,0356299101683,Shoes,"Rum - Cream, Amarula",$2.83,97,"{""vendor"":""default""}",2023-10-06 21:33:22
231e83bc-3bea-c166-0c35-ef406b7db45c,0495159728682,Kids,"Soup - Beef, Base Mix",$1.39,19,"{""vendor"":""default""}",2023-06-21 01:02:49
913bb7e6-7369-cfc4-5599-c1fb6a0e95f1,0219232293897,Home,Jello - Assorted,$6.12,17,"{""vendor"":""default""}",2024-01-15 17:32:57
c45a420c-b586-e7fb-f2de-f5beffd47578,0580749728212,Garden,Liquid Aminios Acid - Braggs,$6.55,26,"{""vendor"":""default""}",2023-04-27 19:00:58
dee2ca5d-8948-b10e-af23-7235fa9f2f35,0584848826540,Jewelry,Butter - Pod,$5.20,49,"{""vendor"":""default""}",2023-06-13 12:42:48
1bd0fa0e-d8b7-4d43-ff39-25a9a6fe8cca,0810658428648,Games,Paper Towel Touchless,$3.26,91,"{""vendor"":""default""}",2024-01-21 09:57:03
8fbf2847-4492-dc6e-9ea8-90aff2bd1e5b,0816766385475,Toys,Lid - 3oz Med Rec,$2.88,52,"{""vendor"":""default""}",2023-04-03 12:11:30
4bc5b52e-e7fe-eaaf-fc9d-57be3b9364fa,0852266646387,Computers,"Pork - Tenderloin, Fresh",$9.14,32,"{""vendor"":""default""}",2023-11-10 08:31:57
b869bb4e-6f14-13f9-c59c-ba7e4a81e2f4,0281597958013,Computers,"Wine - Bourgogne 2002, La",$2.13,74,"{""vendor"":""default""}",2023-10-03 01:05:02
8d0d4901-fca6-7cab-1e9f-e519ac4bdcab,0583913779845,Shoes,"Rice Pilaf, Dry,package",$1.04,74,"{""vendor"":""default""}",2024-03-04 20:13:20
df85bcb2-2f8c-a0b5-f7c9-cd5eaa12ecec,0474445766831,Home,Tomatoes - Cherry,$9.25,80,"{""vendor"":""default""}",2023-07-08 09:12:50
a52bbcc8-25ba-a7dd-340c-107b59af454e,0413393080241,Automotive,Napkin Colour,$1.11,100,"{""vendor"":""default""}",2023-06-09 05:59:40
917c8c2c-f27a-cde2-460d-352236eaf71d,0805106183965,Baby,Catfish - Fillets,$2.59,52,"{""vendor"":""default""}",2023-04-10 17:47:52
7a4c23db-8c8a-ef7f-0a94-ba15d5a017c4,0896811691300,Clothing,Cheese - Gorgonzola,$0.70,91,"{""vendor"":""default""}",2024-03-10 20:56:46
c43d5fab-ed76-1d2d-0741-af763418eaf5,0929720771446,Health,Chick Peas - Dried,$6.47,59,"{""vendor"":""default""}",2024-01-10 06:56:18
b9f1b805-7eec-0cbe-a7ff-0daca241c86d,0122845223519,Toys,"Juice - Orange, Concentrate",$9.32,61,"{""vendor"":""default""}",2023-08-07 05:05:57
0f7c72f0-0622-d68c-744f-a2bb74efec79,0551902528587,Toys,Salmon Steak - Cohoe 8 Oz,$3.00,69,"{""vendor"":""default""}",2023-04-18 02:54:46
bbab898b-5ba6-c68f-8154-ce8fad696594,0838575834776,Tools,Ham - Virginia,$0.43,4,"{""vendor"":""default""}",2024-02-14 06:59:20
0b2a642a-62fe-a78e-dc6e-192f42d51ac2,0562453232673,Computers,Eggplant Oriental,$4.69,86,"{""vendor"":""default""}",2023-06-15 07:46:09
bff81bc5-f5bf-cf79-43cc-90e8fd5bfe55,0014769332169,Jewelry,Galliano,$2.94,77,"{""vendor"":""default""}",2023-11-06 08:57:24
dcc9b9a5-e73a-73a5-edcd-51a0b2d8ffc6,0097863673889,Home,Water - Tonic,$7.19,1,"{""vendor"":""default""}",2023-05-05 21:30:44
194b2ccb-b2dc-1f35-fea2-a7e3f491f4ab,0628010636512,Garden,Wine - Vovray Sec Domaine Huet,$9.70,16,"{""vendor"":""default""}",2023-11-01 07:34:06
3eca0bca-f9aa-b0d9-e8b9-5b0b00edac20,0395339945106,Outdoors,Flavouring - Raspberry,$7.37,60,"{""vendor"":""default""}",2023-12-29 23:59:46
ffefac3e-bc5d-ef25-d4e9-e8b9d2ef7651,0632123132327,Jewelry,Petite Baguette,$2.20,21,"{""vendor"":""default""}",2023-12-13 12:07:27
